name,mos
blur_dataset/motion0044.jpg,0.7544372347614072
blur_dataset/out_of_focus0059.jpg,0.7282277576657971
blur_dataset/out_of_focus0351.jpg,0.7261479740721223
blur_dataset/out_of_focus0449.jpg,0.7501366941490847
blur_dataset/out_of_focus0605.jpg,0.800351506928903
voc_emotic_ava/AVA__129332.jpg,0.5865083245354351
voc_emotic_ava/AVA__12958.jpg,0.741350644617796
voc_emotic_ava/AVA__133333.jpg,0.6724562575744361
voc_emotic_ava/AVA__174814.jpg,0.7538893191485068
voc_emotic_ava/AVA__223003.jpg,0.659539494851206
voc_emotic_ava/AVA__224811.jpg,0.7303295450368669
voc_emotic_ava/AVA__244789.jpg,0.685183512897324
voc_emotic_ava/AVA__2884.jpg,0.7139559007424912
voc_emotic_ava/AVA__314611.jpg,0.7293942749551328
voc_emotic_ava/AVA__326593.jpg,0.8564957478191498
voc_emotic_ava/AVA__339888.jpg,0.7795974116959064
voc_emotic_ava/AVA__391806.jpg,0.6603133409413482
voc_emotic_ava/AVA__412273.jpg,0.7059003934010626
voc_emotic_ava/AVA__420901.jpg,0.6897315431914521
voc_emotic_ava/AVA__454646.jpg,0.7171633189290073
voc_emotic_ava/AVA__46789.jpg,0.6443637966737462
voc_emotic_ava/AVA__477254.jpg,0.7572594789071063
voc_emotic_ava/AVA__492000.jpg,0.7555370958207454
voc_emotic_ava/AVA__51058.jpg,0.7448615917949737
voc_emotic_ava/AVA__528682.jpg,0.7514840705337781
voc_emotic_ava/AVA__57083.jpg,0.728967849756336
voc_emotic_ava/AVA__576590.jpg,0.7550494507780244
voc_emotic_ava/AVA__60135.jpg,0.785590820536199
voc_emotic_ava/AVA__615241.jpg,0.5334484685345928
voc_emotic_ava/AVA__658908.jpg,0.7036080524108579
voc_emotic_ava/AVA__671685.jpg,0.6546252727382383
voc_emotic_ava/AVA__676623.jpg,0.7978683133019258
voc_emotic_ava/AVA__690262.jpg,0.6398447650712992
voc_emotic_ava/AVA__695578.jpg,0.7152252033391983
voc_emotic_ava/AVA__709766.jpg,0.6897316028354346
voc_emotic_ava/AVA__711477.jpg,0.7877909308365542
voc_emotic_ava/AVA__730814.jpg,0.8127673148340732
voc_emotic_ava/AVA__759655.jpg,0.7418423986324605
voc_emotic_ava/AVA__77387.jpg,0.6508134195649763
voc_emotic_ava/AVA__800846.jpg,0.7538261028094964
voc_emotic_ava/AVA__815901.jpg,0.7294755892162735
voc_emotic_ava/AVA__82454.jpg,0.6139445370331935
voc_emotic_ava/AVA__831382.jpg,0.6767870139280295
voc_emotic_ava/AVA__851593.jpg,0.7458249042623366
voc_emotic_ava/AVA__916407.jpg,0.7747991668818217
voc_emotic_ava/AVA__917493.jpg,0.7775625048767455
voc_emotic_ava/AVA__98187.jpg,0.7655694682512469
voc_emotic_ava/EMOTIC__2ccz61xjvddut42ywu.jpg,0.7406539495017788
voc_emotic_ava/EMOTIC__3hoanraf1pcwa6lpvn.jpg,0.7301799862003714
voc_emotic_ava/EMOTIC__527h15tedos6bpmzb5.jpg,0.6409735698945249
voc_emotic_ava/EMOTIC__88nd3sptpo48feb3z7.jpg,0.7172142555269139
voc_emotic_ava/EMOTIC__COCO_train2014_000000004377.jpg,0.7519394743655907
voc_emotic_ava/EMOTIC__COCO_train2014_000000034861.jpg,0.6239140510170877
voc_emotic_ava/EMOTIC__COCO_train2014_000000038123.jpg,0.7391631813416655
voc_emotic_ava/EMOTIC__COCO_train2014_000000065425.jpg,0.6891606985391606
