image,dmos
jp2k/img15.bmp,0.73862088
jp2k/img78.bmp,0.6153099
jp2k/img115.bmp,0.36202544000000003
jp2k/img129.bmp,0.7255278000000001
jp2k/img133.bmp,0.57838464
jp2k/img225.bmp,0.319462
jpeg/img29.bmp,0.3677178
jpeg/img77.bmp,0.4397968
jpeg/img81.bmp,0.50943843
jpeg/img183.bmp,0.43179100000000004
jpeg/img188.bmp,0.4405994
jpeg/img203.bmp,0.6960398999999999
jpeg/img226.bmp,0.74557173
wn/img29.bmp,0.4553718
wn/img68.bmp,0.62004238
wn/img87.bmp,0.28126436
wn/img95.bmp,0.74706054
wn/img97.bmp,0.50642473
gblur/img26.bmp,0.58265075
gblur/img40.bmp,0.44124686999999996
gblur/img60.bmp,0.77765521
gblur/img112.bmp,0.6952499400000001
gblur/img129.bmp,0.70052016
fastfading/img31.bmp,0.25974620000000004
fastfading/img32.bmp,0.53307655
fastfading/img33.bmp,0.6440547999999999
fastfading/img34.bmp,0.7744571
fastfading/img35.bmp,0.55315572
jp2k/img30.bmp,0.30701480000000003
jp2k/img41.bmp,0.5246713000000001
jp2k/img107.bmp,0.2741591
jp2k/img132.bmp,0.6844043
jp2k/img163.bmp,0.51927254
jp2k/img216.bmp,0.74522647
jpeg/img36.bmp,0.3118417
jpeg/img60.bmp,0.4908542
jpeg/img62.bmp,0.33936920000000004
jpeg/img171.bmp,0.74267018
jpeg/img192.bmp,0.39407780000000003
jpeg/img205.bmp,0.41492282999999996
jpeg/img225.bmp,0.67510614
wn/img36.bmp,0.47426120000000005
wn/img48.bmp,0.68429255
wn/img102.bmp,0.59437156
wn/img121.bmp,0.44713013999999995
wn/img136.bmp,0.27507013
gblur/img8.bmp,0.71130922
gblur/img25.bmp,0.43289580000000005
gblur/img33.bmp,0.63427094
gblur/img80.bmp,0.5902919799999999
gblur/img137.bmp,0.80055454
fastfading/img51.bmp,0.34546160000000004
fastfading/img52.bmp,0.24244109999999996
fastfading/img53.bmp,0.5515801300000001
fastfading/img54.bmp,0.77092713
fastfading/img55.bmp,0.7425675
jp2k/img13.bmp,0.50418857
jp2k/img29.bmp,0.38586279999999995
jp2k/img33.bmp,0.461537
jp2k/img156.bmp,0.38817847000000005
jp2k/img199.bmp,0.78920448
jp2k/img222.bmp,0.629787
jpeg/img43.bmp,0.52203467
jpeg/img84.bmp,0.4898464
jpeg/img90.bmp,0.5179868000000001
jpeg/img157.bmp,0.77084288
jpeg/img162.bmp,0.41728103000000005
jpeg/img163.bmp,0.6959089
jpeg/img204.bmp,0.4098686
wn/img4.bmp,0.27937526
wn/img46.bmp,0.66771308
wn/img61.bmp,0.43318605
wn/img103.bmp,0.7499452
wn/img130.bmp,0.47838800000000004
gblur/img7.bmp,0.70813408
gblur/img45.bmp,0.76598965
gblur/img62.bmp,0.66664886
gblur/img73.bmp,0.43824582999999995
gblur/img134.bmp,0.5331073399999999
fastfading/img66.bmp,0.49381554000000005
fastfading/img67.bmp,0.41146590000000005
fastfading/img68.bmp,0.43484920000000005
fastfading/img69.bmp,0.3169081
fastfading/img70.bmp,0.7883352299999999
jp2k/img49.bmp,0.73326698
jp2k/img68.bmp,0.65502715
jp2k/img83.bmp,0.5341567700000001
jp2k/img122.bmp,0.46543900000000005
jp2k/img193.bmp,0.4318493
jpeg/img24.bmp,0.7169220000000001
jpeg/img63.bmp,0.59799626
jpeg/img105.bmp,0.57125515
jpeg/img126.bmp,0.3993046
jpeg/img159.bmp,0.40143156
jpeg/img207.bmp,0.50143337
wn/img64.bmp,0.77496625
wn/img80.bmp,0.3261809
wn/img110.bmp,0.58660603
wn/img132.bmp,0.6645823399999999
wn/img144.bmp,0.51960677
gblur/img1.bmp,0.59202552
gblur/img28.bmp,0.7535236
gblur/img70.bmp,0.30845016000000003
gblur/img88.bmp,0.3916682
gblur/img115.bmp,0.45850265
fastfading/img86.bmp,0.30992615
fastfading/img87.bmp,0.3994461
fastfading/img88.bmp,0.4929106
fastfading/img89.bmp,0.6554727300000001
fastfading/img90.bmp,0.57510364
jp2k/img18.bmp,0.62401122
jp2k/img79.bmp,0.27900559999999996
jp2k/img108.bmp,0.52527305
jp2k/img124.bmp,0.5053235
jp2k/img148.bmp,0.75101043
jp2k/img181.bmp,0.30021673000000004
jpeg/img14.bmp,0.7757220300000001
jpeg/img80.bmp,0.34076910000000005
jpeg/img104.bmp,0.3429232
jpeg/img176.bmp,0.40802130000000003
jpeg/img216.bmp,0.73045912
wn/img14.bmp,0.79692593
wn/img47.bmp,0.28542920000000005
wn/img71.bmp,0.51878208
wn/img90.bmp,0.6550294
wn/img135.bmp,0.4952913
gblur/img6.bmp,0.48432505000000003
gblur/img27.bmp,0.67555487
gblur/img52.bmp,0.36727370000000004
gblur/img59.bmp,0.58348614
gblur/img95.bmp,0.80286855
fastfading/img101.bmp,0.4840109
fastfading/img102.bmp,0.61612228
fastfading/img103.bmp,0.444662
fastfading/img104.bmp,0.78010057
fastfading/img105.bmp,0.7607955
jp2k/img46.bmp,0.32026509999999997
jp2k/img48.bmp,0.29038774999999994
jp2k/img98.bmp,0.5326481000000001
jp2k/img125.bmp,0.6652684
jp2k/img178.bmp,0.47383076
jpeg/img46.bmp,0.30547959999999996
jpeg/img55.bmp,0.5781314399999999
jpeg/img78.bmp,0.30814885999999997
jpeg/img117.bmp,0.71474713
jpeg/img128.bmp,0.58500028
jpeg/img213.bmp,0.42750279999999996
wn/img9.bmp,0.52197784
wn/img23.bmp,0.25548327000000004
wn/img45.bmp,0.72701856
wn/img63.bmp,0.6468948
wn/img65.bmp,0.4769348
gblur/img13.bmp,0.69129464
gblur/img83.bmp,0.39902735
gblur/img109.bmp,0.58022687
gblur/img135.bmp,0.5434042
gblur/img143.bmp,0.6618079
fastfading/img116.bmp,0.2515976
fastfading/img117.bmp,0.38425600000000004
fastfading/img118.bmp,0.48490180000000005
fastfading/img119.bmp,0.78754494
fastfading/img120.bmp,0.33490633999999997
jp2k/img5.bmp,0.3108866
jp2k/img7.bmp,0.4560273
jp2k/img45.bmp,0.31216645
jp2k/img176.bmp,0.65252635
jp2k/img194.bmp,0.38667720000000005
jp2k/img198.bmp,0.7606144699999999
jpeg/img2.bmp,0.5781394799999999
jpeg/img4.bmp,0.20367999999999997
jpeg/img21.bmp,0.46181333
jpeg/img132.bmp,0.77354765
jpeg/img195.bmp,0.3750036
wn/img13.bmp,0.75624248
wn/img18.bmp,0.6797080600000001
wn/img20.bmp,0.24322474000000005
wn/img62.bmp,0.52184635
wn/img93.bmp,0.4615359
gblur/img2.bmp,0.6330107
gblur/img66.bmp,0.44935139999999996
gblur/img91.bmp,0.53551918
gblur/img104.bmp,0.17711279999999996
gblur/img142.bmp,0.69046468
fastfading/img131.bmp,0.2302919
fastfading/img132.bmp,0.24998359999999997
fastfading/img133.bmp,0.74960658
